圧入管理差分データ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファイル名：,PIN_****,,,*には保存順が入る,,,,,,,,,,,,,,,,,,,
ファイル形式：,バイナリデータ,,,,,,,,,,,,,,,,,,,,,,
ファイル拡張子：,bin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
名称,BYTE,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0,備考,,,,,,,,,,,,,
"パイラー機種名（親）
（最大10文字）",1,機種名（ASCII) （例： 'S' ）,,,,,,,,"パイラーの機種名
(例) SY64",,,0,0,,,,,,,,,
,2,機種名（ASCII) （例： 'Y' ）,,,,,,,,,,,1,1,,,,,,,,,
,3,機種名（ASCII) （例： '6' ）,,,,,,,,,,,2,2,,,,,,,,,
,4,機種名（ASCII) （例： '4' ）,,,,,,,,,,,3,3,,,,,,,,,
,5,機種名（ASCII) ,,,,,,,,,,,4,4,,,,,,,,,
,6,機種名（ASCII) ,,,,,,,,,,,5,5,,,,,,,,,
,7,機種名（ASCII) ,,,,,,,,,,,6,6,,,,,,,,,
,8,機種名（ASCII) ,,,,,,,,,,,7,7,,,,,,,,,
,9,機種名（ASCII) ,,,,,,,,,,,8,8,,,,,,,,,
,10,機種名（ASCII) ,,,,,,,,,,,9,9,,,,,,,,,
パイラー号機,11,号機（ASCII) 4桁目 （例： '0' ）,,,,,,,,"パイラーの号機
(例) 1号機",,,10,A,,,,,,,,,
,12,号機（ASCII) 3桁目 （例： '0' ）,,,,,,,,,,,11,B,,,,,,,,,
,13,号機（ASCII) 2桁目 （例： '0' ）,,,,,,,,,,,12,C,,,,,,,,,
,14,号機（ASCII) 1桁目 （例： '1' ）,,,,,,,,,,,13,D,,,,,,,,,
記録時刻,15,年（0～99）（20**）（例： 23 ）,,,,,,,,"圧入データの記録開始時刻
(例)2023年3月30日11時53分25秒",,,14,E,,,,,,,,,
,16,月（1～12）（例： 03 ）,,,,,,,,,,,15,F,,,,,,,,,
