source_borehole,source_press_in,soil_name,soil_symbol,soil_category,depth_top_mm,depth_bottom_mm,layer_thickness_mm,avg_n_value,max_n_value,n_value_bin,sample_rows,method,a1_圧入力設定,a2_圧入力下限設定,b1_圧入ストローク設定,b2_引抜ストローク設定,c1_機械前後傾斜制限設定,c2_機械左右傾斜制限設定,d4_チャック上スピード設定,d5_チャック下スピード設定,g1_オーガ正転トルク設定,g2_オーガ正転トルク下限設定,g3_オーガ逆転トルク設定,g9_オーガ正転スピード設定,g10_オーガ逆転スピード設定,h1_チャック正転トルク設定,h2_チャック正転トルク下限設定,h3_チャック逆転トルク設定,h7_チャック正転スピード設定,h8_チャック逆転スピード設定,i1a_設定水量LS_A,i1b_設定水量LS_B,i1c_設定水量LS_C,i1d_設定水量LS_D
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,埋土（砂）,FI,埋土,0.0,1800.0,1800.0,3.0,3.0,N=0-50+,2174,矢板ジェット併用,23296.0,32770.0,23553.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,256.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,シルト質砂,SM,シルト質土,1800.0,3000.0,1200.0,4.0,4.0,N=4-8,3,矢板オーガ併用,0.0,10.0,769.0,50.0,99.0,99.0,1.0,1.0,40.0,15.0,15.0,250.0,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,シルト混じり砂,S-M,シルト質土,3000.0,7400.0,4400.0,8.0,17.0,N=8-15,25,矢板オーガ併用,0.0,99.0,0.0,3328.0,-2.0,0.0,0.0,251.0,0.0,99.0,0.0,28.0,0.0,0.0,,,0.0,0.0,1.0,2.0,0.0,0.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,シルト質砂,SM,シルト質土,7400.0,10600.0,3200.0,25.666666666666668,27.0,N≥15,13,矢板ジェット併用,0.0,257.0,12.0,0.0,2.0,-2.0,0.0,0.0,3328.0,99.0,0.0,0.0,28.0,0.0,,,0.0,0.0,0.0,99.0,1.0,2.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,シルト,M,シルト質土,10600.0,22450.0,11850.0,51.4,60.0,N≥15,25,矢板単独,0.0,770.0,0.0,3328.0,0.0,2.0,0.0,0.0,0.0,257.0,3328.0,0.0,0.0,28.0,,,28.0,0.0,0.0,99.0,0.0,99.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,砂・シルト互層,S・M,シルト質土,24550.0,27950.0,3400.0,,,N=0-2,38,不明,0.0,258.0,0.0,0.0,0.0,250.0,0.0,2.0,2.0,0.0,32770.0,0.0,0.0,251.0,,,251.0,0.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/PIN_SY75_5001_20260416065715.bin,礫,G,礫質土,27950.0,30150.0,2200.0,,,N=0-10,11,不明,99.0,17408.0,258.0,0.0,0.0,112.0,0.0,0.0,0.0,17679.0,257.0,256.0,1695.0,14.0,,,14.0,56832.0,70.0,0.0,71.0,250.0
data/samples/BED0001.XML,data/samples/No8_20240612134904_No.8.pilx,埋土（砂）,FI,埋土,0.0,1800.0,1800.0,3.0,3.0,N=0-50+,2168,ジャイロ,700.0,0.0,1.0,0.0,99.0,99.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,15.0,30.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/No8_20240612134904_No.8.pilx,シルト質砂,SM,シルト質土,1800.0,3000.0,1200.0,4.0,4.0,N=4-8,2017,ジャイロ,700.0,0.0,1.0,0.0,99.0,99.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,50.0,30.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/No8_20240612134904_No.8.pilx,シルト混じり砂,S-M,シルト質土,3000.0,7400.0,4400.0,8.0,17.0,N=8-15,17403,ジャイロ,200.0,0.0,1.0,0.0,99.0,99.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,110.0,30.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/No8_20240612134904_No.8.pilx,シルト質砂,SM,シルト質土,7400.0,10600.0,3200.0,25.666666666666668,27.0,N≥15,33481,ジャイロ,310.0,0.0,1.0,0.0,99.0,99.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,110.0,30.0,0.0,0.0,0.0,0.0
data/samples/BED0001.XML,data/samples/No8_20240612134904_No.8.pilx,シルト,M,シルト質土,10600.0,22450.0,11850.0,51.4,60.0,N≥15,1078,ジャイロ,530.0,0.0,1.0,0.0,99.0,99.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,110.0,30.0,0.0,0.0,0.0,0.0
PILX_footer,data/samples/No8_20240612134904_No.8.pilx,玉石混じり 砂礫,,礫質土,0.0,2800.0,2800.0,93.0,136.0,N≥50,3689,ジャイロ,700.0,0.0,1.0,0.0,99.0,99.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,15.0,30.0,0.0,0.0,0.0,0.0
PILX_footer,data/samples/No8_20240612134904_No.8.pilx,礫混り 砂,,礫質土,2800.0,3550.0,750.0,8.0,8.0,N=0-10,1675,ジャイロ,700.0,0.0,1.0,0.0,99.0,99.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,900.0,10.0,900.0,110.0,30.0,0.0,0.0,0.0,0.0
